Model,Accuracy (%),Precision (%),Recall (%),F1 Score (%),Training Time (sec),Prediction Time (sec)
Logistic Regression,65.89,66.23,65.87,65.52,657.4583,0.041
KNN,87.13,87.17,87.13,87.12,0.1501,23.2961
Decision Tree,79.51,79.52,79.5,79.51,41.8591,0.0261
Random Forest,89.6,89.69,89.6,89.61,161.2592,0.591
Naive Bayes,19.4,7.36,19.4,10.04,0.5484,0.5395
Linear SVM,67.49,67.28,67.47,66.53,1223.1991,0.0296
Gradient Boosting,77.68,78.38,77.67,77.83,13746.5939,0.2688
MLP,92.12,92.17,92.12,92.08,747.2836,1.0445
1D CNN,62.96,64.14,62.95,62.56,368.1343,10.557
LSTM,40.89,43.19,40.87,39.29,8195.5962,82.3387
CNN-LSTM,83.83,84.15,83.83,83.77,5387.0082,10.1044
